GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
splunk-kafka-connect,com.splunk.hecclient,HttpClientBuilder.new TrustStrategy() {...},2,6,0,0,1,1,1,1,1,1
splunk-kafka-connect,com.splunk.hecclient,EventBatch.HttpEventBatchEntity,0,40,0,2,0,9,0,7,0,6
splunk-kafka-connect,com.splunk.hecclient,HttpClientBuilder.new HostnameVerifier() {...},2,6,0,0,1,1,1,1,1,1
splunk-kafka-connect,com.splunk.hecclient,Hec,26,283,3,13,7,71,3,19,0,14
splunk-kafka-connect,com.splunk.hecclient,ConcurrentHec,9,183,0,12,4,48,0,16,0,10
splunk-kafka-connect,com.splunk.hecclient,HecException,0,9,0,0,0,4,0,2,0,2
splunk-kafka-connect,com.splunk.hecclient,LoadBalancer,0,90,0,12,0,22,0,11,0,5
splunk-kafka-connect,com.splunk.hecclient,HecAckPoller,87,706,10,44,28,159,8,44,0,25
splunk-kafka-connect,com.splunk.hecclient,HecAckPoller.RunAckQuery,21,26,0,0,3,8,0,2,0,2
splunk-kafka-connect,com.splunk.hecclient,HttpClientBuilder,7,132,0,4,2,46,0,13,0,11
splunk-kafka-connect,com.splunk.hecclient,RawEvent,11,63,0,8,3,17,0,8,0,4
splunk-kafka-connect,com.splunk.hecclient,RawEventBatch,22,169,1,9,8,45,3,17,2,13
splunk-kafka-connect,com.splunk.hecclient,JsonEvent,22,60,0,8,6,21,0,11,0,7
splunk-kafka-connect,com.splunk.hecclient,HecEmptyEventException,5,4,0,0,2,2,1,1,1,1
splunk-kafka-connect,com.splunk.hecclient,HecChannel,0,116,0,12,0,35,0,22,0,16
splunk-kafka-connect,com.splunk.hecclient,EventBatch,0,185,0,10,0,47,0,23,0,18
splunk-kafka-connect,com.splunk.hecclient,HecNullEventException,5,4,0,0,2,2,1,1,1,1
splunk-kafka-connect,com.splunk.hecclient,Event,3,195,0,6,1,65,1,29,1,26
splunk-kafka-connect,com.splunk.hecclient,RawEventBatch.Builder,0,45,0,0,0,13,0,7,0,7
splunk-kafka-connect,com.splunk.hecclient,Indexer,18,361,4,14,2,85,3,22,0,16
splunk-kafka-connect,com.splunk.hecclient,HecAckPollResponse,0,43,0,4,0,9,0,5,0,3
splunk-kafka-connect,com.splunk.hecclient,HecConfig,0,165,0,0,0,60,0,31,0,31
splunk-kafka-connect,com.splunk.hecclient,DoubleSerializer,0,17,0,0,0,4,0,2,0,2
splunk-kafka-connect,com.splunk.hecclient,PostResponse,0,37,0,2,0,13,0,8,0,7
splunk-kafka-connect,com.splunk.hecclient,ResponsePoller,14,75,0,6,6,22,2,11,2,8
splunk-kafka-connect,com.splunk.hecclient,JsonEventBatch,19,33,2,2,7,9,3,6,2,5
splunk-kafka-connect,com.splunk.hecclient,EventBatch.HttpEventBatchEntity.new Enumeration() {...},0,44,0,4,0,4,0,5,0,3
splunk-kafka-connect,com.splunk.kafka.connect,KafkaRecordTracker,0,202,1,21,0,47,1,17,0,7
splunk-kafka-connect,com.splunk.kafka.connect,JacksonStructModule.StructSerializer,0,36,0,2,0,7,0,3,0,2
splunk-kafka-connect,com.splunk.kafka.connect,VersionUtils,19,76,0,10,7,22,3,8,3,3
splunk-kafka-connect,com.splunk.kafka.connect,JacksonStructModule,0,10,0,0,0,3,0,1,0,1
splunk-kafka-connect,com.splunk.kafka.connect,SplunkSinkRecord,74,188,14,14,22,47,18,9,5,8
splunk-kafka-connect,com.splunk.kafka.connect,SplunkSinkConnectorConfig,0,881,3,35,0,131,3,25,0,9
splunk-kafka-connect,com.splunk.kafka.connect,SplunkSinkConnector,2,46,0,2,1,14,1,8,1,7
splunk-kafka-connect,com.splunk.kafka.connect,SplunkSinkTask,489,792,52,54,102,171,39,43,6,23
